Number of dimensions: 4

Achlioptas	Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.033377	2.227050	0.153453	1.844088	0.666489
2		0.032685	2.216342	0.150904	2.236268	0.752965
3		0.032729	2.362703	0.158293	1.825068	0.700777
4		0.031872	2.240063	0.152366	1.807621	0.902022
5		0.032877	2.216463	0.150863	1.970682	0.796981
6		0.032685	2.216532	0.151062	2.160580	0.712831
7		0.032683	2.216294	0.153270	1.810833	0.893618
8		0.033970	2.253222	0.151308	1.884689	0.719237
9		0.033088	2.214563	0.150366	1.913186	0.955576
10		0.032781	2.214799	0.150458	1.967488	0.745701
11		0.033159	2.214681	0.150320	1.985959	0.957095
12		0.032929	2.214299	0.150640	1.821274	1.169901
13		0.033050	2.215449	0.150922	1.899408	0.831784
14		0.032914	2.214359	0.150841	1.903555	0.741468
15		0.033155	2.214455	0.150675	1.763077	0.807485
16		0.033062	2.214551	0.150700	1.928624	0.793703
17		0.033265	2.214517	0.151571	1.790798	0.629701
18		0.032684	2.214299	0.151364	2.098046	0.768769
19		0.032794	2.240311	0.150827	1.716191	0.413555
20		0.032995	2.216439	0.150794	1.872052	0.588437
21		0.032806	2.216727	0.151603	2.005434	0.681933
22		0.032483	2.301503	0.151857	1.769363	0.589256
23		0.032565	2.215365	0.151663	2.018820	0.972404
24		0.032900	2.214638	0.151043	1.792075	0.391460
25		0.032781	2.215258	0.151366	1.840477	0.692862
26		0.032994	2.215115	0.150996	1.695509	0.749237
27		0.032564	2.216137	0.151152	1.814057	0.528975
28		0.033182	2.320160	0.158402	2.208491	0.809759
29		0.032458	2.225645	0.150826	1.924060	0.619665
30		0.033062	2.214126	0.151214	2.001578	0.731310

Normal		Matrix (sec)	Proj (sec)	Distance (sec)	Max distortion	Avg distortion
1		0.032529	2.251687	0.151441	2.053890	0.946404
2		0.032755	2.214965	0.151012	1.726619	0.676843
3		0.032138	2.214258	0.151365	1.717209	0.690151
4		0.032270	2.214495	0.151592	1.802511	0.470382
5		0.032816	2.214629	0.150985	1.896975	0.679365
6		0.032186	2.247682	0.159929	1.989703	0.729487
7		0.036008	2.316588	0.159278	2.025443	0.853175
8		0.032689	2.407377	0.152236	2.154191	0.715014
9		0.032162	2.215165	0.151439	2.404635	1.178650
